payer,recipient,amount,date,description,ministry,sole_source,payer_directors,recipient_directors,payer_status,recipient_status,payer_revenue,payer_government_funding,recipient_revenue,recipient_government_funding
Bob Rumball Canadian Centre of Excellence for the Deaf,Bob Rumball Camp of the Deaf,250000,2024-01-10,Accessibility program transfer,Community Services,false,"Arthur Last; Leroy Raymond; Derek Rumball","Arthur Last; Leroy Raymond; Derek Rumball",Active,Active,18000000,14500000,4200000,400000
Bob Rumball Camp of the Deaf,Bob Rumball Canadian Centre of Excellence for the Deaf,289500,2024-03-18,Accessibility program transfer,Community Services,false,"Arthur Last; Leroy Raymond; Derek Rumball","Arthur Last; Leroy Raymond; Derek Rumball",Active,Active,4200000,400000,18000000,14500000
More Than A Roof Mennonite Housing Society,West End Mennonite Housing Society,46010,2024-02-02,Affordable housing support,Housing,false,"David Hillhouse; Spencer Andres","David Hillhouse; Spencer Andres",Active,Active,9000000,3500000,7000000,4200000
West End Mennonite Housing Society,More Than A Roof Mennonite Housing Society,233941,2024-05-22,Affordable housing support,Housing,false,"David Hillhouse; Spencer Andres","David Hillhouse; Spencer Andres",Active,Active,7000000,4200000,9000000,3500000
Prairie Theatre Exchange Inc,Prairie Theatre Exchange Foundation Trust,40000,2024-01-12,Creative development grant,Arts,false,"Melissa McAlister","Melissa McAlister",Active,Active,3200000,1800000,550000,0
Prairie Theatre Exchange Foundation Trust,Prairie Theatre Exchange Inc,269883,2024-04-27,Creative development grant,Arts,false,"Melissa McAlister","Melissa McAlister",Active,Active,550000,0,3200000,1800000
Community Foundations of Canada,MakeWay Foundation,120000,2024-01-20,Climate philanthropy network,Environment,false,"Director A; Director B","Director C; Director D",Active,Active,15000000,11000000,9000000,4200000
MakeWay Foundation,Vancity Community Foundation,112000,2024-02-11,Climate philanthropy network,Environment,false,"Director C; Director D","Director E; Director F",Active,Inactive after funding,9000000,4200000,4500000,500000
Vancity Community Foundation,Community Foundations of Canada,125014,2024-03-09,Climate philanthropy network,Environment,false,"Director E; Director F","Director A; Director B",Inactive after funding,Active,4500000,500000,15000000,11000000
Procurement Agency Alpha,Supplier Node One,600000,2024-01-05,Case management platform,Health,true,"Board X","Board Y",Active,Active,12000000,8000000,3000000,0
Supplier Node One,Delivery Partner Two,150000,2024-01-19,Case management platform,Health,true,"Board Y","Board Z",Active,Active,3000000,0,900000,0
Delivery Partner Two,Procurement Agency Alpha,180000,2024-02-09,Case management platform,Health,true,"Board Z","Board X",Active,Active,900000,0,12000000,8000000
